t,obj_x,obj_y,obj_z,joint1,joint2,joint3,joint4,joint5,joint6,gripper_closed
0.5,0.4000,0.1500,0.0180,0.7151,1.3198,-0.0291,-0.1914,0.9998,0.7606,0.0
1.0,0.4000,0.1500,0.0180,0.7916,1.3537,-0.0913,-0.2387,0.9894,0.8424,0.0
1.5,0.4000,0.1500,0.0180,0.8508,1.3628,-0.1612,-0.2522,0.9896,0.8848,0.0
2.0,0.4000,0.1500,0.0180,0.8732,1.3343,-0.1757,-0.2519,0.9479,0.9090,1.0
2.5,0.4000,0.1500,0.0180,0.8936,1.2995,-0.1746,-0.2499,0.9009,0.9397,1.0
3.0,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
3.5,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
4.0,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
4.5,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
5.0,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
5.5,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
6.0,0.4000,0.1500,0.0180,0.8957,1.2960,-0.1745,-0.2497,0.8962,0.9428,1.0
6.5,0.4000,0.1500,0.0180,0.9149,1.2835,-0.1490,-0.2594,0.9273,0.9740,0.0
7.0,0.4000,0.1500,0.0180,1.0026,1.2714,-0.0989,-0.2885,1.0577,1.0862,0.0
7.5,0.4000,0.1500,0.0180,1.0498,1.2899,-0.1237,-0.3103,1.1319,1.1432,0.0
8.0,0.4000,0.1500,0.0180,1.0555,1.2908,-0.1385,-0.3045,1.1391,1.1439,0.0
8.5,0.4000,0.1500,0.0180,1.0381,1.3022,-0.1617,-0.2316,1.1445,1.0748,0.0
9.0,0.4000,0.1500,0.0180,0.9731,1.3291,-0.2037,-0.1410,1.1850,0.9681,0.0
9.5,0.4000,0.1500,0.0180,0.8901,1.3905,-0.2789,-0.0601,1.2689,0.8498,0.0
10.0,0.4000,0.1500,0.0180,0.8614,1.4734,-0.3876,-0.0238,1.3585,0.7967,0.0
10.5,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
11.0,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
11.5,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
12.0,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
12.5,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
13.0,0.4000,0.1500,0.0180,0.8410,1.5315,-0.4637,0.0011,1.4215,0.7588,0.0
13.5,0.4000,0.1500,0.0180,0.8400,1.5292,-0.4576,-0.0003,1.4203,0.7600,0.0
14.0,0.4000,0.1500,0.0180,0.8164,1.4851,-0.3431,-0.0214,1.3815,0.7852,0.0
14.5,0.4000,0.1500,0.0180,0.8090,1.4761,-0.3280,-0.0649,1.3517,0.8084,0.0
15.0,0.4000,0.1500,0.0180,0.7943,1.4856,-0.3561,-0.1107,1.3203,0.8142,0.0
15.5,0.4000,0.1500,0.0180,0.7489,1.5034,-0.3865,-0.1347,1.2813,0.7799,0.0
16.0,0.4000,0.1500,0.0180,0.6940,1.5053,-0.3815,-0.1493,1.2115,0.7299,0.0
16.5,0.4000,0.1500,0.0180,0.6523,1.5150,-0.3734,-0.1890,1.1502,0.6953,0.0
17.0,0.4000,0.1500,0.0180,0.5911,1.5674,-0.4020,-0.2373,1.1435,0.6487,0.0
17.5,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
18.0,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
18.5,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
19.0,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
19.5,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
20.0,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
20.5,0.4000,0.1500,0.0180,0.5414,1.6154,-0.4304,-0.2764,1.1447,0.6088,0.0
21.0,0.4000,0.1500,0.0180,0.5420,1.6085,-0.4209,-0.2740,1.1474,0.6088,0.0
21.5,0.4000,0.1500,0.0180,0.5562,1.4911,-0.2510,-0.2162,1.2029,0.6228,0.0
22.0,0.4000,0.1500,0.0180,0.5478,1.4541,-0.2028,-0.1671,1.2582,0.6083,0.0
22.5,0.4000,0.1500,0.0180,0.5283,1.4669,-0.2249,-0.1320,1.3021,0.5643,0.0
23.0,0.4000,0.1500,0.0180,0.5201,1.5121,-0.2837,-0.1130,1.3416,0.5440,0.0
23.5,0.4000,0.1500,0.0180,0.4963,1.5539,-0.3424,-0.0852,1.3662,0.5278,0.0
24.0,0.4000,0.1500,0.0180,0.4616,1.6033,-0.3944,-0.0653,1.3944,0.4903,0.0
24.5,0.4000,0.1500,0.0180,0.3819,1.6008,-0.3414,-0.0522,1.3567,0.4270,1.0
25.0,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
25.5,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
26.0,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
26.5,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
27.0,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
27.5,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
28.0,0.4000,0.1500,0.0180,0.2999,1.5908,-0.2754,-0.0415,1.3149,0.3644,1.0
28.5,0.4000,0.1500,0.0180,0.4841,1.5204,-0.2194,-0.0530,1.3261,0.5268,0.0
29.0,0.4000,0.1500,0.0180,0.5899,1.4647,-0.1671,-0.0581,1.3072,0.6240,0.0
29.5,0.4000,0.1500,0.0180,0.6318,1.4344,-0.1442,-0.0817,1.2885,0.6570,0.0
30.0,0.4000,0.1500,0.0180,0.6640,1.4365,-0.1576,-0.1438,1.2592,0.6982,0.0
30.5,0.4000,0.1500,0.0180,0.6400,1.4267,-0.1958,-0.1785,1.1982,0.6862,0.0
31.0,0.4000,0.1500,0.0180,0.5917,1.3808,-0.2160,-0.1918,1.0964,0.6543,0.0
31.5,0.4000,0.1500,0.0180,0.5655,1.3291,-0.1799,-0.1761,1.0121,0.6333,1.0
32.0,0.4000,0.1500,0.0180,0.5413,1.2804,-0.1352,-0.1549,0.9369,0.6157,1.0
32.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
33.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
33.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
34.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
34.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
35.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
35.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
36.0,0.4000,0.1500,0.0180,0.6798,1.2956,-0.1103,-0.1814,1.0247,0.7511,0.0
36.5,0.4000,0.1500,0.0180,0.8100,1.2989,-0.1013,-0.2195,1.1027,0.8791,0.0
37.0,0.4000,0.1500,0.0180,0.8834,1.3060,-0.1196,-0.1989,1.1471,0.9288,0.0
37.5,0.4000,0.1500,0.0180,0.8746,1.2908,-0.1364,-0.1514,1.1231,0.9080,0.0
38.0,0.4000,0.1500,0.0180,0.8777,1.2850,-0.1487,-0.1370,1.0692,0.9177,0.0
38.5,0.4000,0.1500,0.0180,0.8809,1.2896,-0.1709,-0.1276,1.0364,0.9244,0.0
39.0,0.4000,0.1500,0.0180,0.8675,1.3265,-0.2038,-0.1066,1.0574,0.9062,1.0
39.5,0.4000,0.1500,0.0180,0.8336,1.3627,-0.2362,-0.0882,1.0762,0.8708,1.0
40.0,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
40.5,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
