epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6019,2.13412,3.62823,1.79859,0.00364,0.84211,0.11831,0.06385,1.86765,3.66146,1.60582,0.00012,0.00012,0.00012
2,37.349,1.54826,3.08502,1.39058,0.00409,0.94737,0.50146,0.28927,1.30771,3.40749,1.15754,0.000254852,0.000254852,0.000254852
3,40.8099,1.45238,2.37229,1.3009,0.00432,1,0.51297,0.28644,1.3981,3.29648,1.17468,0.00038416,0.00038416,0.00038416
4,44.8428,1.43213,1.93289,1.34223,0.00424,0.98246,0.55792,0.34136,1.29805,3.2335,1.12148,0.000507924,0.000507924,0.000507924
5,47.7993,1.45791,1.80637,1.26543,0.00417,0.96491,0.61406,0.27603,1.55944,3.30883,1.25105,0.000626144,0.000626144,0.000626144
6,50.8617,1.32672,1.67222,1.20632,0.00713,0.91228,0.7039,0.36732,1.49473,3.2385,1.19195,0.00073882,0.00073882,0.00073882
7,54.3703,1.43477,1.72919,1.28301,1,0.21144,0.63704,0.3206,1.66143,3.11098,1.31228,0.000845952,0.000845952,0.000845952
8,58.032,1.49324,1.61128,1.27404,0.78547,0.25716,0.5241,0.27101,1.62792,3.19409,1.37397,0.00094754,0.00094754,0.00094754
9,61.0117,1.64317,1.84421,1.36285,0.90857,0.47368,0.63186,0.34467,1.63563,2.94604,1.24986,0.00104358,0.00104358,0.00104358
10,64.0655,1.59705,1.59106,1.35638,0.89945,0.4709,0.54035,0.31405,1.64956,2.88553,1.33962,0.00113408,0.00113408,0.00113408
11,67.1671,1.45547,1.58457,1.28411,0.90988,0.40351,0.44506,0.27994,1.51843,2.93018,1.26018,0.00121904,0.00121904,0.00121904
12,71.324,1.47107,1.48542,1.26048,0.48828,0.41855,0.42392,0.25136,1.54325,2.68934,1.26953,0.00129845,0.00129845,0.00129845
13,74.2235,1.46674,1.48642,1.28902,0.49945,0.40351,0.39659,0.23958,1.56614,2.74757,1.27858,0.00137232,0.00137232,0.00137232
14,77.2611,1.49816,1.47122,1.31456,0.22684,0.38596,0.26647,0.16254,1.56256,2.91427,1.32118,0.00144064,0.00144064,0.00144064
15,80.166,1.46689,1.44162,1.31544,0.4387,0.43879,0.44889,0.25871,1.55564,2.52055,1.39154,0.0014456,0.0014456,0.0014456
16,84.2823,1.35667,1.37338,1.24621,0.7678,0.40351,0.5847,0.33643,1.58587,2.27422,1.4514,0.001406,0.001406,0.001406
17,87.1843,1.30005,1.31925,1.22179,0.69135,0.43237,0.58656,0.33475,1.53998,2.24523,1.36436,0.0013664,0.0013664,0.0013664
18,90.1009,1.41438,1.31737,1.25775,0.79598,0.59649,0.7436,0.42146,1.47784,1.83341,1.28516,0.0013268,0.0013268,0.0013268
19,93.0728,1.33481,1.2714,1.24283,0.88949,0.61404,0.77103,0.44275,1.49109,1.70447,1.27202,0.0012872,0.0012872,0.0012872
20,97.2615,1.37238,1.29821,1.26464,0.81133,0.70175,0.84033,0.45306,1.54358,1.61119,1.32542,0.0012476,0.0012476,0.0012476
21,100.203,1.32445,1.1834,1.2724,0.66797,0.7193,0.76083,0.4129,1.61298,1.69113,1.37882,0.001208,0.001208,0.001208
22,103.024,1.32172,1.22768,1.21904,0.67398,0.59649,0.69111,0.39179,1.58848,1.69345,1.40273,0.0011684,0.0011684,0.0011684
23,105.886,1.30027,1.17924,1.20794,0.86568,0.7193,0.82002,0.45293,1.56492,1.44109,1.44996,0.0011288,0.0011288,0.0011288
24,109.914,1.33575,1.16335,1.2665,0.87696,0.63158,0.70928,0.39771,1.61792,1.61018,1.6498,0.0010892,0.0010892,0.0010892
25,112.961,1.29383,1.18319,1.23694,0.81096,0.61404,0.66415,0.36472,1.65555,1.67515,1.73138,0.0010496,0.0010496,0.0010496
